"sector_de_actividad_económica","anio","vab_pb","provincia"
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","2007","162961166.30271","CABA"
"Fabricación de papel y de  productos de papel","2007","517894322.32663","CABA"
"Edición e impresión; reproducción de grabaciones","2007","2355944647.68300","CABA"
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear","2007","574942438.68643","CABA"
"Fabricación de sustancias y productos químicos","2007","2962267688.10741","CABA"
"Fabricación de productos de caucho y plástico","2007","491364004.74572","CABA"
"Fabricación de productos minerales no metálicos","2007","318939642.18608","CABA"
"Fabricación de metales comunes","2007","524824089.95928","CABA"
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","2007","642304363.87577","CABA"
"Fabricación de maquinaria y equipo n.c.p.","2007","931389491.89547","CABA"
"Fabricación de maquinaria de oficina, contabilidad e informática","2007","203602062.35123","CABA"
"Fabricación de maquinaria y aparatos eléctricos  n.c.p.","2007","336864650.46367","CABA"
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones","2007","164561444.57588","CABA"
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes","2007","228539825.77436","CABA"
"Fabricación de vehículos automotores, remolques y semirremolques","2007","380061687.00043","CABA"
"Fabricación de equipo de transporte n.c.p.","2007","82883900.46708","CABA"
"Fabricación de muebles y colchones; industrias manufactureras n.c.p.","2007","765253358.19531","CABA"
"Reciclamiento","2007","15327405.86497","CABA"
"Reparación, mantenimiento e instalación de maquinas y equipos","2007","279972827.67091","CABA"
"Generación captación y distribución de energía eléctrica","2007","1078468602.12383","CABA"
"Fabricación de gas ; distribución de combustibles gaseosos por tuberías","2007","265086096.03843","CABA"
"Captación , depuración y distribución de agua","2007","414835012.51449","CABA"
"Construcción","2007","4193330950.32822","CABA"
"Comercio mayorista, minorista y reparaciones","2007","17161509855.82392","CABA"
"Hoteles; campamentos y otros tipos de hospedaje temporal","2007","686336786.74821","CABA"
"Restaurantes, bares y cantinas","2007","2656774190.25537","CABA"
"Transporte","2007","5502476545.67984","CABA"
"Comunicaciones","2007","7466257318.80430","CABA"
"Intermediación financiera y otros servicios financieros","2007","8910825723.98876","CABA"
"Servicios de seguros","2007","2381121900.33832","CABA"
"Servicios auxiliares a la actividad financiera","2007","1004326393.02171","CABA"
"Propiedad de la vivienda","2007","5210538179.51017","CABA"
"Resto","2007","16455336371.63960","CABA"
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","2007","5332447667.10449","CABA"
"Enseñanza pública","2007","1708492174.31778","CABA"
"Enseñanza privada","2007","1478791315.52770","CABA"
"Salud pública","2007","1130386398.47824","CABA"
"Salud privada","2007","3571617723.53546","CABA"
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares","2007","644051681.32111","CABA"
"Asociaciones","2007","1896979006.64056","CABA"
"Servicios culturales y deportivos. Otras actividades","2007","3284622237.14981","CABA"
"Servicio doméstico","2007","1104029284.39278","CABA"
"Agricultura, ganaderia, caza y servicios conexos","2008","208484950.95177","CABA"
"Silvicultura, extracción de madera y servicios conexos","2008","188603.23051","CABA"
"Pesca","2008","45763807.54998","CABA"
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","2008","718624906.96065","CABA"
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","2008","126585823.31252","CABA"
"Elaboración de productos alimenticios y bebidas","2008","2873324668.97802","CABA"
"Elaboración de productos de tabaco","2008","70254704.03661","CABA"
"Fabricación de productos textiles","2008","694051926.54989","CABA"
"Fabricación de prendas de vestir; terminación y teñido de pieles","2008","1493335953.65282","CABA"
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes","2008","515196417.50592","CABA"
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","2008","143356931.82107","CABA"
"Fabricación de papel y de  productos de papel","2008","517917825.45000","CABA"
"Edición e impresión; reproducción de grabaciones","2008","2533437278.11190","CABA"
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear","2008","529048079.08193","CABA"
"Fabricación de sustancias y productos químicos","2008","3137559542.92607","CABA"
"Fabricación de productos de caucho y plástico","2008","451866238.92993","CABA"
"Fabricación de productos minerales no metálicos","2008","319400453.94810","CABA"
"Fabricación de metales comunes","2008","529876287.79540","CABA"
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","2008","679833798.57756","CABA"
"Fabricación de maquinaria y equipo n.c.p.","2008","970395058.83923","CABA"
"Fabricación de maquinaria de oficina, contabilidad e informática","2008","300503852.11399","CABA"
"Fabricación de maquinaria y aparatos eléctricos  n.c.p.","2008","344360874.98724","CABA"
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones","2008","135150302.17913","CABA"
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes","2008","242009593.17246","CABA"
"Fabricación de vehículos automotores, remolques y semirremolques","2008","371012647.32126","CABA"
"Fabricación de equipo de transporte n.c.p.","2008","78908649.31250","CABA"
